,Parabacteroides distasonis ATCC 8503_0.01.pkl,Bifidobacterium longum strain DSM 20219_0.01.pkl,Ruminococcus gnavus ATCC 29149_0.01.pkl
P. distasonis_gapfilled_82,"{'EX_cpd00635_e': 0.04109219745382145, 'EX_cpd00023_e': 0.041092197453805136, 'EX_cpd11595_e': 0.04109219745382145, 'EX_cpd00154_e': 0.04109219745382145, 'EX_cpd08306_e': 0.04109219745382145, 'EX_cpd00309_e': 0.04109219745382145, 'EX_cpd00540_e': 0.04109219745382145, 'EX_cpd11597_e': 0.04109219745382145, 'EX_cpd08305_e': 0.04109219745382145, 'EX_cpd00396_e': 0.04109219745382145, 'EX_cpd00039_e': 0.04109219745382145, 'EX_cpd00011_e': 0.041092197453649386, 'EX_cpd00322_e': 0.0410921974538001, 'EX_cpd00111_e': 0.0410921974538001, 'EX_cpd00028_e': 0.0410921974538001, 'EX_cpd01188_e': 0.0410921974538001, 'EX_cpd00357_e': 0.04109219745379561, 'EX_cpd03847_e': 0.0410921974538001, 'EX_cpd01080_e': 0.0410921974538001, 'EX_cpd00010_e': 0.0410921974538001, 'EX_cpd00264_e': 0.0410921974538001, 'EX_cpd11606_e': 0.0410921974538001, 'EX_cpd00305_e': 0.0410921974538001, 'EX_cpd00129_e': 0.0410921974538001, 'EX_cpd00367_e': 0.04109219745382145}",,
P. distasonis_gapfilled_83,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.04109219745017765, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453795574, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.04109219745379558, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.041092197453795574}",,
P. distasonis_gapfilled_84,"{'EX_cpd00635_e': 0.04109219745379129, 'EX_cpd00023_e': 0.04109219745489026, 'EX_cpd11595_e': 0.04109219745379129, 'EX_cpd00154_e': 0.04109219745521972, 'EX_cpd08306_e': 0.04109219745542386, 'EX_cpd00309_e': 0.04109219745542386, 'EX_cpd00540_e': 0.04109219745542386, 'EX_cpd11597_e': 0.04109219745542386, 'EX_cpd08305_e': 0.04109219745542386, 'EX_cpd00396_e': 0.04109219745542386, 'EX_cpd00039_e': 0.04109219745542386, 'EX_cpd00011_e': 0.04109219745379557, 'EX_cpd00322_e': 0.04109219745379557, 'EX_cpd00111_e': 0.04109219745379557, 'EX_cpd00028_e': 0.04109219745379557, 'EX_cpd01188_e': 0.04109219745379557, 'EX_cpd00357_e': 0.041092197454914436, 'EX_cpd03847_e': 0.04109219745379557, 'EX_cpd01080_e': 0.04109219745379557, 'EX_cpd00010_e': 0.04109219745379557, 'EX_cpd00264_e': 0.04109219745379557, 'EX_cpd11606_e': 0.04109219745379557, 'EX_cpd00305_e': 0.04109219745379557, 'EX_cpd00129_e': 0.04109219745379557, 'EX_cpd00367_e': 0.04109219745379129}",,
P. distasonis_gapfilled_85,"{'EX_cpd00635_e': 0.020546098726897787, 'EX_cpd00023_e': 0.02054609872708706, 'EX_cpd11595_e': 0.020546098726897787, 'EX_cpd00154_e': 0.020546098726897787, 'EX_cpd08306_e': 0.020546098726897787, 'EX_cpd00309_e': 0.020546098726897787, 'EX_cpd00540_e': 0.020546098726897787, 'EX_cpd11597_e': 0.020546098726897787, 'EX_cpd08305_e': 0.020546098726897787, 'EX_cpd00396_e': 0.020546098726897787, 'EX_cpd00039_e': 0.020546098726897787, 'EX_cpd00011_e': 0.020546098726897787, 'EX_cpd00322_e': 0.020546098726897787, 'EX_cpd00111_e': 0.020546098726897787, 'EX_cpd00028_e': 0.020546098726897787, 'EX_cpd01188_e': 0.020546098726897787, 'EX_cpd00357_e': 0.02054609872689779, 'EX_cpd03847_e': 0.020546098726897787, 'EX_cpd01080_e': 0.020546098726897787, 'EX_cpd00010_e': 0.020546098726897787, 'EX_cpd00264_e': 0.020546098726897787, 'EX_cpd11606_e': 0.020546098726897787, 'EX_cpd00305_e': 0.020546098726897787, 'EX_cpd00129_e': 0.020546098726897787, 'EX_cpd00367_e': 0.020546098726897787}",,
P. distasonis_gapfilled_86,"{'EX_cpd00635_e': 0.04109219745379549, 'EX_cpd00023_e': 0.041092197453795574, 'EX_cpd11595_e': 0.04109219745379549, 'EX_cpd00154_e': 0.04109219745379549, 'EX_cpd08306_e': 0.04109219745379549, 'EX_cpd00309_e': 0.04109219745379549, 'EX_cpd00540_e': 0.04109219745379549, 'EX_cpd11597_e': 0.04109219745379549, 'EX_cpd08305_e': 0.04109219745379549, 'EX_cpd00396_e': 0.04109219745379549, 'EX_cpd00039_e': 0.04109219745379549, 'EX_cpd00011_e': 0.04109219745321196, 'EX_cpd00322_e': 0.04109219745384468, 'EX_cpd00111_e': 0.04109219745384468, 'EX_cpd00028_e': 0.04109219745384468, 'EX_cpd01188_e': 0.041092197454082914, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.04109219745384468, 'EX_cpd01080_e': 0.04109219745384468, 'EX_cpd00010_e': 0.04109219745384468, 'EX_cpd00264_e': 0.04109219745384468, 'EX_cpd11606_e': 0.04109219745384468, 'EX_cpd00305_e': 0.04109219745384468, 'EX_cpd00129_e': 0.04109219745384468, 'EX_cpd00367_e': 0.04109219745379549}",,
P. distasonis_gapfilled_87,"{'EX_cpd00635_e': 0.041092197453578706, 'EX_cpd00023_e': 0.041092197452176626, 'EX_cpd11595_e': 0.041092197453578706, 'EX_cpd00154_e': 0.041092197453269565, 'EX_cpd08306_e': 0.04109219745291844, 'EX_cpd00309_e': 0.04109219745291844, 'EX_cpd00540_e': 0.04109219745291844, 'EX_cpd11597_e': 0.04109219745291844, 'EX_cpd08305_e': 0.04109219745291844, 'EX_cpd00396_e': 0.04109219745291844, 'EX_cpd00039_e': 0.04109219745291844, 'EX_cpd00011_e': 0.04109219745359353, 'EX_cpd00322_e': 0.04109219745291844, 'EX_cpd00111_e': 0.04109219745291844, 'EX_cpd00028_e': 0.04109219745291844, 'EX_cpd01188_e': 0.04109219745291844, 'EX_cpd00357_e': 0.04109219745269631, 'EX_cpd03847_e': 0.04109219745291844, 'EX_cpd01080_e': 0.04109219745291844, 'EX_cpd00010_e': 0.04109219745291844, 'EX_cpd00264_e': 0.04109219745291844, 'EX_cpd11606_e': 0.04109219745291844, 'EX_cpd00305_e': 0.04109219745291844, 'EX_cpd00129_e': 0.04109219745060751, 'EX_cpd00367_e': 0.041092197453578706}",,
P. distasonis_gapfilled_88,"{'EX_cpd00635_e': 0.041092197453893434, 'EX_cpd00023_e': 0.04109219745421338, 'EX_cpd11595_e': 0.041092197453893434, 'EX_cpd00154_e': 0.041092197453893434, 'EX_cpd08306_e': 0.041092197453893434, 'EX_cpd00309_e': 0.041092197453893434, 'EX_cpd00540_e': 0.041092197453893434, 'EX_cpd11597_e': 0.041092197453893434, 'EX_cpd08305_e': 0.041092197453893434, 'EX_cpd00396_e': 0.041092197453893434, 'EX_cpd00039_e': 0.041092197453893434, 'EX_cpd00011_e': 0.04109219745251368, 'EX_cpd00322_e': 0.041092197453863014, 'EX_cpd00111_e': 0.041092197453863014, 'EX_cpd00028_e': 0.041092197453863014, 'EX_cpd01188_e': 0.041092197453863014, 'EX_cpd00357_e': 0.04109219745480088, 'EX_cpd03847_e': 0.041092197453863014, 'EX_cpd01080_e': 0.041092197453863014, 'EX_cpd00010_e': 0.041092197453863014, 'EX_cpd00264_e': 0.041092197453863014, 'EX_cpd11606_e': 0.041092197453863014, 'EX_cpd00305_e': 0.041092197453863014, 'EX_cpd00129_e': 0.041092197453863014, 'EX_cpd00367_e': 0.041092197453893434}",,
P. distasonis_gapfilled_89,"{'EX_cpd00635_e': 0.04109219745462691, 'EX_cpd00023_e': 0.04109219745378279, 'EX_cpd11595_e': 0.04109219745462691, 'EX_cpd00154_e': 0.041092197454727315, 'EX_cpd08306_e': 0.04109219745462691, 'EX_cpd00309_e': 0.04109219745462691, 'EX_cpd00540_e': 0.04109219745462691, 'EX_cpd11597_e': 0.04109219745462691, 'EX_cpd08305_e': 0.04109219745462691, 'EX_cpd00396_e': 0.04109219745462691, 'EX_cpd00039_e': 0.04109219745462691, 'EX_cpd00011_e': 0.04109219745374734, 'EX_cpd00322_e': 0.041092197453804234, 'EX_cpd00111_e': 0.041092197453804234, 'EX_cpd00028_e': 0.041092197453804234, 'EX_cpd01188_e': 0.041092197453804234, 'EX_cpd00357_e': 0.041092197453899394, 'EX_cpd03847_e': 0.041092197453804234, 'EX_cpd01080_e': 0.041092197453804234, 'EX_cpd00010_e': 0.041092197453804234, 'EX_cpd00264_e': 0.041092197453804234, 'EX_cpd11606_e': 0.041092197453804234, 'EX_cpd00305_e': 0.041092197453804234, 'EX_cpd00129_e': 0.041092197453804234, 'EX_cpd00367_e': 0.04109219745462691}",,
P. distasonis_gapfilled_90,"{'EX_cpd00635_e': 0.04109219745379566, 'EX_cpd00023_e': 0.041092197453905875, 'EX_cpd11595_e': 0.04109219745379566, 'EX_cpd00154_e': 0.04109219745380466, 'EX_cpd08306_e': 0.04109219745379564, 'EX_cpd00309_e': 0.04109219745379564, 'EX_cpd00540_e': 0.04109219745379564, 'EX_cpd11597_e': 0.04109219745379564, 'EX_cpd08305_e': 0.04109219745379564, 'EX_cpd00396_e': 0.04109219745379564, 'EX_cpd00039_e': 0.04109219745379564, 'EX_cpd00011_e': 0.0410921974538102, 'EX_cpd00322_e': 0.04109219745379561, 'EX_cpd00111_e': 0.04109219745379561, 'EX_cpd00028_e': 0.04109219745379561, 'EX_cpd01188_e': 0.04109219745379561, 'EX_cpd00357_e': 0.041092197453970365, 'EX_cpd03847_e': 0.04109219745379561, 'EX_cpd01080_e': 0.04109219745379561, 'EX_cpd00010_e': 0.04109219745379561, 'EX_cpd00264_e': 0.04109219745379561, 'EX_cpd11606_e': 0.04109219745379561, 'EX_cpd00305_e': 0.04109219745379561, 'EX_cpd00129_e': 0.04109219745383478, 'EX_cpd00367_e': 0.04109219745379566}",,
P. distasonis_gapfilled_91,"{'EX_cpd00635_e': 0.02054609872684129, 'EX_cpd00023_e': 0.020546098724997602, 'EX_cpd11595_e': 0.02054609872684129, 'EX_cpd00154_e': 0.02054609872684129, 'EX_cpd08306_e': 0.02054609872684129, 'EX_cpd00309_e': 0.02054609872684129, 'EX_cpd00540_e': 0.02054609872684129, 'EX_cpd11597_e': 0.02054609872684129, 'EX_cpd08305_e': 0.02054609872684129, 'EX_cpd00396_e': 0.02054609872684129, 'EX_cpd00039_e': 0.02054609872684129, 'EX_cpd00011_e': 0.02054609872692312, 'EX_cpd00322_e': 0.020546098726979517, 'EX_cpd00111_e': 0.020546098726979517, 'EX_cpd00028_e': 0.020546098726979517, 'EX_cpd01188_e': 0.020546098727036097, 'EX_cpd00357_e': 0.020546098726698922, 'EX_cpd03847_e': 0.020546098726979517, 'EX_cpd01080_e': 0.020546098726979517, 'EX_cpd00010_e': 0.020546098726979517, 'EX_cpd00264_e': 0.020546098726979517, 'EX_cpd11606_e': 0.020546098726979517, 'EX_cpd00305_e': 0.020546098726979517, 'EX_cpd00129_e': 0.020546098726979517, 'EX_cpd00367_e': 0.02054609872684129}",,
P. distasonis_gapfilled_92,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.041092197459405795, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745379557, 'EX_cpd08306_e': 0.04109219745379557, 'EX_cpd00309_e': 0.04109219745379557, 'EX_cpd00540_e': 0.04109219745379557, 'EX_cpd11597_e': 0.04109219745379557, 'EX_cpd08305_e': 0.04109219745379557, 'EX_cpd00396_e': 0.04109219745379557, 'EX_cpd00039_e': 0.04109219745379557, 'EX_cpd00011_e': 0.04109219745379557, 'EX_cpd00322_e': 0.04109219745420023, 'EX_cpd00111_e': 0.04109219745420023, 'EX_cpd00028_e': 0.04109219745420023, 'EX_cpd01188_e': 0.04109219745420023, 'EX_cpd00357_e': 0.04109219746168688, 'EX_cpd03847_e': 0.04109219745420023, 'EX_cpd01080_e': 0.04109219745420023, 'EX_cpd00010_e': 0.04109219745420023, 'EX_cpd00264_e': 0.04109219745420023, 'EX_cpd11606_e': 0.04109219745420023, 'EX_cpd00305_e': 0.04109219745420023, 'EX_cpd00129_e': 0.04109219745420023, 'EX_cpd00367_e': 0.04109219745379557}",,
P. distasonis_gapfilled_93,"{'EX_cpd00635_e': 0.04109219745390019, 'EX_cpd00023_e': 0.04109219745426657, 'EX_cpd11595_e': 0.04109219745390019, 'EX_cpd00154_e': 0.041092197453795574, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.0410921974536577, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.04109219745390019}",,
P. distasonis_gapfilled_94,"{'EX_cpd00635_e': 0.020546098726909916, 'EX_cpd00023_e': 0.020546098726897784, 'EX_cpd11595_e': 0.020546098726909916, 'EX_cpd00154_e': 0.020546098726926632, 'EX_cpd08306_e': 0.020546098726896313, 'EX_cpd00309_e': 0.020546098726896313, 'EX_cpd00540_e': 0.020546098726896313, 'EX_cpd11597_e': 0.020546098726896313, 'EX_cpd08305_e': 0.020546098726896313, 'EX_cpd00396_e': 0.020546098726896313, 'EX_cpd00039_e': 0.020546098726896313, 'EX_cpd00011_e': 0.020546098726896313, 'EX_cpd00322_e': 0.020546098726896313, 'EX_cpd00111_e': 0.020546098726896313, 'EX_cpd00028_e': 0.020546098726896313, 'EX_cpd01188_e': 0.020546098726896313, 'EX_cpd00357_e': 0.020546098726851224, 'EX_cpd03847_e': 0.020546098726896313, 'EX_cpd01080_e': 0.020546098726896313, 'EX_cpd00010_e': 0.020546098726896313, 'EX_cpd00264_e': 0.020546098726896313, 'EX_cpd11606_e': 0.020546098726896313, 'EX_cpd00305_e': 0.020546098726896313, 'EX_cpd00129_e': 0.020546098726896313, 'EX_cpd00367_e': 0.020546098726909916}",,
P. distasonis_gapfilled_95,"{'EX_cpd00635_e': 0.04109219745379557, 'EX_cpd00023_e': 0.04109219745382162, 'EX_cpd11595_e': 0.04109219745379557, 'EX_cpd00154_e': 0.04109219745379559, 'EX_cpd08306_e': 0.04109219745379557, 'EX_cpd00309_e': 0.04109219745379557, 'EX_cpd00540_e': 0.04109219745379557, 'EX_cpd11597_e': 0.04109219745379557, 'EX_cpd08305_e': 0.04109219745379557, 'EX_cpd00396_e': 0.04109219745379557, 'EX_cpd00039_e': 0.04109219745379557, 'EX_cpd00011_e': 0.04109219745379562, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.041092197453795574, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453789205, 'EX_cpd00367_e': 0.04109219745379557}",,
P. distasonis_gapfilled_96,"{'EX_cpd00635_e': 0.041092197453795574, 'EX_cpd00023_e': 0.04109219745583642, 'EX_cpd11595_e': 0.041092197453795574, 'EX_cpd00154_e': 0.041092197453795574, 'EX_cpd08306_e': 0.041092197453795574, 'EX_cpd00309_e': 0.041092197453795574, 'EX_cpd00540_e': 0.041092197453795574, 'EX_cpd11597_e': 0.041092197453795574, 'EX_cpd08305_e': 0.041092197453795574, 'EX_cpd00396_e': 0.041092197453795574, 'EX_cpd00039_e': 0.041092197453795574, 'EX_cpd00011_e': 0.041092197453795574, 'EX_cpd00322_e': 0.041092197453795574, 'EX_cpd00111_e': 0.041092197453795574, 'EX_cpd00028_e': 0.041092197453795574, 'EX_cpd01188_e': 0.041092197453795574, 'EX_cpd00357_e': 0.04109219746216327, 'EX_cpd03847_e': 0.041092197453795574, 'EX_cpd01080_e': 0.041092197453795574, 'EX_cpd00010_e': 0.041092197453795574, 'EX_cpd00264_e': 0.041092197453795574, 'EX_cpd11606_e': 0.041092197453795574, 'EX_cpd00305_e': 0.041092197453795574, 'EX_cpd00129_e': 0.041092197453795574, 'EX_cpd00367_e': 0.041092197453795574}",,
P. distasonis_gapfilled_97,"{'EX_cpd00635_e': 0.02054609872657992, 'EX_cpd00023_e': 0.02054609872689778, 'EX_cpd11595_e': 0.02054609872657992, 'EX_cpd00154_e': 0.020546098726472267, 'EX_cpd08306_e': 0.02054609872657992, 'EX_cpd00309_e': 0.02054609872657992, 'EX_cpd00540_e': 0.02054609872657992, 'EX_cpd11597_e': 0.02054609872657992, 'EX_cpd08305_e': 0.02054609872657992, 'EX_cpd00396_e': 0.02054609872657992, 'EX_cpd00039_e': 0.02054609872657992, 'EX_cpd00011_e': 0.02054609872657992, 'EX_cpd00322_e': 0.02054609872657992, 'EX_cpd00111_e': 0.02054609872657992, 'EX_cpd00028_e': 0.02054609872657992, 'EX_cpd01188_e': 0.02054609872657992, 'EX_cpd00357_e': 0.02054609873594874, 'EX_cpd03847_e': 0.02054609872657992, 'EX_cpd01080_e': 0.02054609872657992, 'EX_cpd00010_e': 0.02054609872657992, 'EX_cpd00264_e': 0.02054609872657992, 'EX_cpd11606_e': 0.02054609872657992, 'EX_cpd00305_e': 0.02054609872657992, 'EX_cpd00129_e': 0.02054609872657992, 'EX_cpd00367_e': 0.02054609872657992}",,
P. distasonis_gapfilled_98,"{'EX_cpd00635_e': 0.04109219745379558, 'EX_cpd00023_e': 0.04109219738972461, 'EX_cpd11595_e': 0.04109219745379558, 'EX_cpd00154_e': 0.04109219745379558, 'EX_cpd08306_e': 0.04109219745379558, 'EX_cpd00309_e': 0.04109219745379558, 'EX_cpd00540_e': 0.04109219745379558, 'EX_cpd11597_e': 0.04109219745379558, 'EX_cpd08305_e': 0.04109219745379558, 'EX_cpd00396_e': 0.04109219745379558, 'EX_cpd00039_e': 0.04109219745379558, 'EX_cpd00011_e': 0.04109219745379558, 'EX_cpd00322_e': 0.041092197453830026, 'EX_cpd00111_e': 0.041092197453830026, 'EX_cpd00028_e': 0.041092197453830026, 'EX_cpd01188_e': 0.041092197453830026, 'EX_cpd00357_e': 0.04109219745380462, 'EX_cpd03847_e': 0.041092197453830026, 'EX_cpd01080_e': 0.041092197453830026, 'EX_cpd00010_e': 0.041092197453830026, 'EX_cpd00264_e': 0.041092197453830026, 'EX_cpd11606_e': 0.041092197453830026, 'EX_cpd00305_e': 0.041092197453830026, 'EX_cpd00129_e': 0.041092197453830026, 'EX_cpd00367_e': 0.04109219745379558}",,
P. distasonis_gapfilled_99,"{'EX_cpd00635_e': 0.020546098726803835, 'EX_cpd00023_e': 0.02054609867693234, 'EX_cpd11595_e': 0.020546098726803835, 'EX_cpd00154_e': 0.020546098726877432, 'EX_cpd08306_e': 0.020546098726897107, 'EX_cpd00309_e': 0.020546098726897107, 'EX_cpd00540_e': 0.020546098726897107, 'EX_cpd11597_e': 0.020546098726897107, 'EX_cpd08305_e': 0.020546098726897107, 'EX_cpd00396_e': 0.020546098726897107, 'EX_cpd00039_e': 0.020546098726897107, 'EX_cpd00011_e': 0.020546098726883816, 'EX_cpd00322_e': 0.020546098726898266, 'EX_cpd00111_e': 0.020546098726898266, 'EX_cpd00028_e': 0.020546098726898266, 'EX_cpd01188_e': 0.020546098726898266, 'EX_cpd00357_e': 0.020546098726897787, 'EX_cpd03847_e': 0.020546098726898266, 'EX_cpd01080_e': 0.020546098726898266, 'EX_cpd00010_e': 0.020546098726898266, 'EX_cpd00264_e': 0.020546098726898266, 'EX_cpd11606_e': 0.020546098726898266, 'EX_cpd00305_e': 0.020546098726898266, 'EX_cpd00129_e': 0.020546098726898266, 'EX_cpd00367_e': 0.020546098726803835}",,
B. longum subsp. longum_gapfilled_0,,"{'EX_cpd00224_e': 0.00911626496674322, 'EX_cpd00027_e': 0.009116264966599699, 'EX_cpd01171_e': 0.009116264966599699, 'EX_cpd00154_e': 0.009116264966599699, 'EX_cpd00309_e': 0.009116264966610447, 'EX_cpd00108_e': 0.009116264966614359, 'EX_cpd00039_e': 0.009116264966614359, 'EX_cpd00011_e': 0.009116264966614359, 'EX_cpd00322_e': 0.009116264966614359, 'EX_cpd00111_e': 0.009116264966614359, 'EX_cpd00028_e': 0.009116264966614359, 'EX_cpd00066_e': 0.009116264966614359, 'EX_cpd01188_e': 0.009116264966614359, 'EX_cpd00357_e': 0.009116264966485687, 'EX_cpd00136_e': 0.009116264966614359, 'EX_cpd03847_e': 0.009116264966614359, 'EX_cpd01080_e': 0.009116264966614359, 'EX_cpd00010_e': 0.009116264966614359, 'EX_cpd00264_e': 0.009116264966614359, 'EX_cpd11606_e': 0.009116264966614359, 'EX_cpd00069_e': 0.009116264966614359, 'EX_cpd00060_e': 0.009116264966614359, 'EX_cpd00305_e': 0.009116264966614359, 'EX_cpd00129_e': 0.009116264966614359}",
B. longum subsp. longum_gapfilled_1,,"{'EX_cpd00224_e': 0.009038943562772907, 'EX_cpd00027_e': 0.009038943562720099, 'EX_cpd01171_e': 0.009038943562787916, 'EX_cpd00154_e': 0.009038943562787916, 'EX_cpd00309_e': 0.009038943562797894, 'EX_cpd00108_e': 0.009038943562787916, 'EX_cpd00039_e': 0.009038943562787916, 'EX_cpd00011_e': 0.009038943562787916, 'EX_cpd00322_e': 0.009038943562787916, 'EX_cpd00111_e': 0.009038943562787916, 'EX_cpd00028_e': 0.009038943562787916, 'EX_cpd00066_e': 0.009038943562787916, 'EX_cpd01188_e': 0.009038943562787916, 'EX_cpd00357_e': 0.009038943562772968, 'EX_cpd00136_e': 0.009038943562787916, 'EX_cpd03847_e': 0.009038943562787916, 'EX_cpd01080_e': 0.009038943562787916, 'EX_cpd00010_e': 0.009038943562787916, 'EX_cpd00264_e': 0.009038943562787916, 'EX_cpd11606_e': 0.009038943562787916, 'EX_cpd00069_e': 0.009038943562787916, 'EX_cpd00060_e': 0.009038943562787916, 'EX_cpd00305_e': 0.009038943562787916, 'EX_cpd00129_e': 0.009038943562787916}",
B. longum subsp. longum_gapfilled_2,,"{'EX_cpd00224_e': 0.009059187529961214, 'EX_cpd00027_e': 0.009059187530035045, 'EX_cpd01171_e': 0.009059187530035045, 'EX_cpd00154_e': 0.009059187530035045, 'EX_cpd00309_e': 0.009059187530035045, 'EX_cpd00108_e': 0.009059187530035045, 'EX_cpd00039_e': 0.009059187530035045, 'EX_cpd00011_e': 0.009059187530035045, 'EX_cpd00322_e': 0.009059187530035045, 'EX_cpd00111_e': 0.009059187530035045, 'EX_cpd00028_e': 0.009059187530035045, 'EX_cpd00066_e': 0.009059187530035045, 'EX_cpd01188_e': 0.009059187530035045, 'EX_cpd00357_e': 0.009059187529783913, 'EX_cpd00136_e': 0.009059187530035045, 'EX_cpd03847_e': 0.009059187530035045, 'EX_cpd01080_e': 0.009059187530035045, 'EX_cpd00010_e': 0.009059187530035045, 'EX_cpd00264_e': 0.009059187530035045, 'EX_cpd11606_e': 0.009059187530035045, 'EX_cpd00069_e': 0.009059187530035045, 'EX_cpd00060_e': 0.009059187530035045, 'EX_cpd00305_e': 0.009059187530035045, 'EX_cpd00129_e': 0.009059187530035045}",
B. longum subsp. longum_gapfilled_3,,"{'EX_cpd00224_e': 0.009543198049601362, 'EX_cpd00027_e': 0.009543198048743045, 'EX_cpd01171_e': 0.009543198048834543, 'EX_cpd00154_e': 0.009543198048834543, 'EX_cpd00309_e': 0.009543198048839085, 'EX_cpd00108_e': 0.00954319804882997, 'EX_cpd00039_e': 0.00954319804882997, 'EX_cpd00011_e': 0.00954319804882997, 'EX_cpd00322_e': 0.00954319804882997, 'EX_cpd00111_e': 0.00954319804882997, 'EX_cpd00028_e': 0.00954319804882997, 'EX_cpd00066_e': 0.00954319804882997, 'EX_cpd01188_e': 0.00954319804882997, 'EX_cpd00357_e': 0.009543198048862141, 'EX_cpd00136_e': 0.00954319804882997, 'EX_cpd03847_e': 0.00954319804882997, 'EX_cpd01080_e': 0.00954319804882997, 'EX_cpd00010_e': 0.00954319804882997, 'EX_cpd00264_e': 0.00954319804882997, 'EX_cpd11606_e': 0.00954319804882997, 'EX_cpd00069_e': 0.00954319804882997, 'EX_cpd00060_e': 0.00954319804882997, 'EX_cpd00305_e': 0.00954319804882997, 'EX_cpd00129_e': 0.00954319804882997}",
B. longum subsp. longum_gapfilled_4,,"{'EX_cpd00224_e': 0.009038943562675544, 'EX_cpd00027_e': 0.009038943562757437, 'EX_cpd01171_e': 0.009038943562769094, 'EX_cpd00154_e': 0.009038943562769094, 'EX_cpd00309_e': 0.009038943562769094, 'EX_cpd00108_e': 0.009038943562768718, 'EX_cpd00039_e': 0.009038943562769094, 'EX_cpd00011_e': 0.009038943562769094, 'EX_cpd00322_e': 0.009038943562769094, 'EX_cpd00111_e': 0.009038943562769094, 'EX_cpd00028_e': 0.009038943562769094, 'EX_cpd00066_e': 0.009038943562769094, 'EX_cpd01188_e': 0.009038943562769094, 'EX_cpd00357_e': 0.009038943562670128, 'EX_cpd00136_e': 0.009038943562769094, 'EX_cpd03847_e': 0.009038943562769094, 'EX_cpd01080_e': 0.009038943562769094, 'EX_cpd00010_e': 0.009038943562769094, 'EX_cpd00264_e': 0.009038943562769094, 'EX_cpd11606_e': 0.009038943562769094, 'EX_cpd00069_e': 0.009038943562769094, 'EX_cpd00060_e': 0.009038943562769094, 'EX_cpd00305_e': 0.009038943562769094, 'EX_cpd00129_e': 0.009038943562769094}",
